[ 3021.012392] configfs-gadget.g1 gadget.0: uvc: [DEBUG] prep_requests: imagesize=460800 req_size=21504 nreqs=245 reqs_per_frame=213
[ 3030.782055] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34680 us (28.8 fps) queued=78
[ 3030.808813] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=26758 us (37.3 fps) queued=35
[ 3030.836997] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=28182 us (35.4 fps) queued=32
[ 3030.867342] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30345 us (32.9 fps) queued=32
[ 3030.897169] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=29827 us (33.5 fps) queued=32
[ 3030.927375] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30203 us (33.1 fps) queued=37
[ 3030.956246] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=28873 us (34.6 fps) queued=31
[ 3030.987049] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30802 us (32.4 fps) queued=32
[ 3031.015536] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=28489 us (35.1 fps) queued=32
[ 3031.046323] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30782 us (32.4 fps) queued=31
[ 3031.077282] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30963 us (32.2 fps) queued=32
[ 3031.107752] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30467 us (32.8 fps) queued=31
[ 3031.166481] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=58729 us (17.0 fps) queued=33
[ 3031.196714] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30230 us (33.0 fps) queued=32
[ 3031.226989] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30276 us (33.0 fps) queued=32
[ 3031.258406] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=31418 us (31.8 fps) queued=32
[ 3031.285804] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=27398 us (36.4 fps) queued=31
[ 3031.316361] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30556 us (32.7 fps) queued=31
[ 3031.351960] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=35599 us (28.0 fps) queued=31
[ 3031.382772] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30811 us (32.4 fps) queued=31
[ 3031.417587] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34814 us (28.7 fps) queued=32
[ 3031.448246] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30659 us (32.6 fps) queued=32
[ 3031.481222] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32976 us (30.3 fps) queued=32
[ 3031.515861] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34639 us (28.8 fps) queued=31
[ 3031.546665] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30803 us (32.4 fps) queued=32
[ 3031.579228] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32562 us (30.7 fps) queued=30
[ 3031.613900] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34672 us (28.8 fps) queued=32
[ 3031.652118] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=38218 us (26.1 fps) queued=30
[ 3031.688797] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=36677 us (27.2 fps) queued=31
[ 3031.723151] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34355 us (29.1 fps) queued=29
[ 3031.752980] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=29830 us (33.5 fps) queued=31
[ 3031.785653] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32672 us (30.6 fps) queued=31
[ 3031.818361] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32707 us (30.5 fps) queued=39
[ 3031.847746] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=29384 us (34.0 fps) queued=31
[ 3031.878769] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=31022 us (32.2 fps) queued=31
[ 3031.919338] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=40567 us (24.6 fps) queued=32
[ 3032.032175] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=112837 us (8.8 fps) queued=32
[ 3032.070712] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=38533 us (25.9 fps) queued=32
[ 3032.104890] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34181 us (29.2 fps) queued=30
[ 3032.137918] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=33028 us (30.2 fps) queued=34
[ 3032.166483] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=28564 us (35.0 fps) queued=32
[ 3032.231727] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=65246 us (15.3 fps) queued=33
[ 3032.261853] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30124 us (33.1 fps) queued=32
[ 3032.300958] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=39103 us (25.5 fps) queued=31
[ 3032.332989] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32031 us (31.2 fps) queued=32
[ 3032.363702] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30714 us (32.5 fps) queued=31
[ 3032.394231] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30528 us (32.7 fps) queued=32
[ 3032.434953] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=40720 us (24.5 fps) queued=31
[ 3032.466806] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=31849 us (31.3 fps) queued=35
[ 3032.495237] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=28435 us (35.1 fps) queued=33
[ 3032.524761] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=29523 us (33.8 fps) queued=32
[ 3032.567749] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=42987 us (23.2 fps) queued=31
[ 3032.600096] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32347 us (30.9 fps) queued=35
